pair_id,clip_a_id,clip_b_id,preference,timestamp,annotator_id
random_006_vs_annotated_007,random_006,annotated_007,A,2025-11-08T15:40:29.320138,annotator_g5y2rxc9s
random_008_vs_random_002,random_008,random_002,B,2025-11-08T15:40:41.903293,annotator_g5y2rxc9s
annotated_008_vs_random_001,annotated_008,random_001,A,2025-11-08T15:40:56.797122,annotator_g5y2rxc9s
random_002_vs_random_008,random_002,random_008,B,2025-11-08T15:41:15.700749,annotator_g5y2rxc9s
random_001_vs_annotated_005,random_001,annotated_005,tie,2025-11-08T15:41:33.568051,annotator_g5y2rxc9s
random_003_vs_annotated_008,random_003,annotated_008,B,2025-11-08T15:41:41.800590,annotator_g5y2rxc9s
random_005_vs_annotated_005,random_005,annotated_005,A,2025-11-08T15:42:00.100569,annotator_g5y2rxc9s
annotated_006_vs_random_008,annotated_006,random_008,A,2025-11-08T15:42:13.463530,annotator_g5y2rxc9s
annotated_005_vs_annotated_003,annotated_005,annotated_003,tie,2025-11-08T15:42:23.746609,annotator_g5y2rxc9s
annotated_008_vs_random_009,annotated_008,random_009,A,2025-11-08T15:42:33.196346,annotator_g5y2rxc9s
random_002_vs_annotated_000,random_002,annotated_000,B,2025-11-08T15:42:39.788389,annotator_g5y2rxc9s
random_000_vs_annotated_009,random_000,annotated_009,A,2025-11-08T15:42:51.353516,annotator_g5y2rxc9s
annotated_000_vs_annotated_004,annotated_000,annotated_004,A,2025-11-08T15:42:59.363761,annotator_g5y2rxc9s
annotated_000_vs_random_002,annotated_000,random_002,A,2025-11-08T15:43:06.096321,annotator_g5y2rxc9s
random_007_vs_random_005,random_007,random_005,A,2025-11-08T15:43:12.597624,annotator_g5y2rxc9s
random_000_vs_annotated_002,random_000,annotated_002,A,2025-11-08T15:43:21.416213,annotator_g5y2rxc9s
random_006_vs_annotated_002,random_006,annotated_002,A,2025-11-08T15:43:34.705045,annotator_g5y2rxc9s
annotated_000_vs_annotated_003,annotated_000,annotated_003,A,2025-11-08T15:43:38.139070,annotator_g5y2rxc9s
annotated_005_vs_annotated_003,annotated_005,annotated_003,tie,2025-11-08T15:43:41.806592,annotator_g5y2rxc9s
annotated_000_vs_annotated_004,annotated_000,annotated_004,B,2025-11-08T15:44:08.797245,annotator_g5y2rxc9s
random_005_vs_annotated_009,random_005,annotated_009,B,2025-11-08T15:44:12.932675,annotator_g5y2rxc9s
annotated_009_vs_annotated_008,annotated_009,annotated_008,B,2025-11-08T15:44:15.924567,annotator_g5y2rxc9s
annotated_007_vs_annotated_006,annotated_007,annotated_006,B,2025-11-08T15:44:26.677879,annotator_g5y2rxc9s
random_002_vs_annotated_001,random_002,annotated_001,B,2025-11-08T15:44:30.213794,annotator_g5y2rxc9s
random_000_vs_random_006,random_000,random_006,A,2025-11-08T15:44:35.188066,annotator_g5y2rxc9s
random_008_vs_annotated_007,random_008,annotated_007,A,2025-11-08T15:44:42.546598,annotator_g5y2rxc9s
random_002_vs_annotated_004,random_002,annotated_004,B,2025-11-08T15:44:50.762626,annotator_g5y2rxc9s
random_000_vs_annotated_004,random_000,annotated_004,A,2025-11-08T15:45:00.355578,annotator_g5y2rxc9s
random_009_vs_random_005,random_009,random_005,A,2025-11-08T15:45:12.390973,annotator_g5y2rxc9s
random_007_vs_annotated_004,random_007,annotated_004,A,2025-11-08T15:45:20.874388,annotator_g5y2rxc9s
random_007_vs_random_001,random_007,random_001,A,2025-11-08T21:29:06.172614,annotator_g5y2rxc9s
random_004_vs_random_006,random_004,random_006,tie,2025-11-08T21:29:18.715040,annotator_g5y2rxc9s
random_005_vs_annotated_009,random_005,annotated_009,tie,2025-11-08T21:29:41.331663,annotator_g5y2rxc9s
random_001_vs_random_009,random_001,random_009,B,2025-11-08T21:30:09.881780,annotator_g5y2rxc9s
random_007_vs_random_004,random_007,random_004,A,2025-11-08T21:30:24.598101,annotator_g5y2rxc9s
random_007_vs_annotated_002,random_007,annotated_002,tie,2025-11-08T21:30:37.315451,annotator_g5y2rxc9s
random_004_vs_annotated_009,random_004,annotated_009,B,2025-11-08T21:30:49.364925,annotator_g5y2rxc9s
random_002_vs_annotated_003,random_002,annotated_003,B,2025-11-08T21:31:04.338695,annotator_g5y2rxc9s
annotated_003_vs_annotated_008,annotated_003,annotated_008,B,2025-11-08T21:31:24.882119,annotator_g5y2rxc9s
annotated_001_vs_random_008,annotated_001,random_008,B,2025-11-08T21:32:19.882011,annotator_g5y2rxc9s
